objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,tpk_halow_goldendelicious.jpg,Halo Worsted,The Plucky Knitter,2019-05-31,From the It's Pop-Up Time! blog update pre-order weekend of May 31 2019. (When Hazel and Harmony were introduced.) For Curio Hat!,worsted; halo; yellow,"Moscow, Idaho",46.47935,-116.25514,Ravelry ,tpk_halow_goldendelicious,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll002,tpk_harmony_hazyshades.jpg,Harmony DK,The Plucky Knitter,2019-05-31,From the It's Pop-Up Time! blog update pre-order weekend of May 31 2019. (When Hazel and Harmony were introduced.),dk; harmony; alpaca; cotton; bluegray; gray; grey,"Ames, Iowa",45.128427,-115.322963,Ravelry ,tpk_harmony_hazyshades,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll003,tpk_hazel_puckerup.jpg,Hazel Worsted,The Plucky Knitter,2019-05-31,From the It's Pop-Up Time! blog update pre-order weekend of May 31 2019. (When Hazel and Harmony were introduced.) ,worsted; hazel; merino; superwash; red; lipstick,"Hastings, Mich.",47.650864,-116.08913,Ravelry ,tpk_hazel_puckerup,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll004,tpk_lodgew_gris.jpg,Lodge Worsted,The Plucky Knitter,2019-04-14,"From the You say Goodbye, I say Hello! blog update pre-order, April 14 2019. ",cotton; flax; gray; grey; gris; heathered; lodge; lodgeworsted; merino; pluckylodge; silk; tweed; worsted,"Moscow, Idaho",43.53814,-116.808364,Ravelry ,tpk_lodgew_gris,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll005,tpk_feet_razzledazzle1.jpg,Plucky Feet,The Plucky Knitter,2019-10-04,Fall into Plucky sale - October 4 2019. Couldn't resist these purple-grey-green colors for a pair of socks someday!,feet; fingering; gray; green; grey; merino; multicolor; nylon; pluckyfeet; purple; razzledazzle; scum; sock; socks; speckled; variegated,"Ames, Iowa",45.527864,-116.302951,Ravelry ,tpk_feet_razzledazzle1,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll006,tpk_sweater_happycamper.jpg,Plucky Sweater DK,The Plucky Knitter,2019-11-01,Part of a sock kit with two colors to pair two pairs (switch contrast colors on each pair -- or wear fraternally!),bemidjistateuniversity; birksocks; climbeverymountain; dk; green; happycamper; kit; knitpkforbirks; merino; nylon; pluckysweater; tpkbirksockskal; wool; workhorse,"Hastings, Mich.",44.761292,-114.810301,Ravelry ,tpk_sweater_happycamper,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll007,tpk_primos_midnightbayou.jpg,Primo Sport,The Plucky Knitter,2019-09-11,Midnight Snack kit for [That Pizza Shawl](/patterns/library/that-pizza-shawl) - September 2019.,cashmere; mcn; merino; midnightonthebayou; multicolor; nylon; pizzashawl; pizzashawlkit; primo; primosport; speckled; speckles; sport; variegated,"Moscow, Idaho",46.088404,-115.518644,Ravelry ,tpk_primos_midnightbayou,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll008,tpk_suave_goinsteady.jpg,Suave Sport,The Plucky Knitter,2019-07-28,Really wanted to try this new base.,suave; sport; summer; pink; fuchsia; hotpink; tweed; heathered; cotton; silk,"Ames, Iowa",45.066779,-114.555243,Ravelry ,tpk_suave_goinsteady,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll009,tpk_travs_babylove.jpg,Traveler Sport,The Plucky Knitter,2019-08-23,From “We <3 You” Dyed For You pre-order customer appreciation sale. August 23 2019. Thought this color/base combo looked pretty!,sport; traveler; yak; silk; merino; purple,"Hastings, Mich.",46.492008,-114.363683,Ravelry ,tpk_travs_babylove,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll010,tpk_trusty_tartanb.jpg,Trusty Worsted,The Plucky Knitter,2019-03-22,"From Retirement Party #4 Scotland edition, March 22 2019, Plucky blog pre-order sale.  For Glitter. ",trusty; worsted; variegated; multicolor; navy; green; blue; gray; grey; tartan; merino; superwash,"Moscow, Idaho",42.520124,-113.831947,Ravelry ,tpk_trusty_tartanb,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
coll011,tpk_trustyf_raincheck.jpg,Trusty Fingering,The Plucky Knitter,2019-05-31,"From the It's Pop-Up Time! blog update pre-order weekend of May 31 2019. (When Hazel and Harmony were introduced.) No idea what to make with this, but it's so pretty I couldn't resist.",trusty; fingering; merino; superwash; variegated; multicolor; blue; white raincheck,"Ames, Iowa",44.11715,-114.93161,Ravelry ,tpk_trustyf_raincheck,Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
